model,dataset,layer_name,layer_idx,method,error,ft_method,cos_sim
ViT-L/14,Cars,model.visual.transformer.resblocks.5.attn.o.weight,63,Identity,0.8650853037834167,standard,0.13491469621658325
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.q.weight,64,EigenCov,0.9014692306518556,standard,0.09853076934814442
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.q.weight,64,Identity,0.8962028622627258,standard,0.10379713773727417
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.k.weight,65,EigenCov,0.8750270009040833,standard,0.12497299909591675
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.k.weight,65,Identity,0.8962028622627258,standard,0.10379713773727417
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.v.weight,66,EigenCov,0.852824330329895,standard,0.14717566967010498
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.v.weight,66,Identity,0.8962028622627258,standard,0.10379713773727417
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.o.weight,67,EigenCov,0.6730674505233765,standard,0.32693254947662354
ViT-L/14,Cars,model.visual.transformer.resblocks.0.attn.o.weight,67,Identity,0.9410070180892944,standard,0.058992981910705566
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.q.weight,68,EigenCov,0.6631754636764526,standard,0.33682453632354736
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.q.weight,68,Identity,0.7796729803085327,standard,0.22032701969146729
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.k.weight,69,EigenCov,0.6181092262268066,standard,0.38189077377319336
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.k.weight,69,Identity,0.7796729803085327,standard,0.22032701969146729
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.v.weight,70,EigenCov,0.6419730186462402,standard,0.35802698135375977
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.v.weight,70,Identity,0.7796729803085327,standard,0.22032701969146729
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.o.weight,71,EigenCov,0.5601086616516113,standard,0.43989133834838867
ViT-L/14,Cars,model.visual.transformer.resblocks.13.attn.o.weight,71,Identity,0.8213245868682861,standard,0.17867541313171387
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.q.weight,72,EigenCov,0.8620352745056152,standard,0.13796472549438477
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.q.weight,72,Identity,0.8340163826942444,standard,0.16598361730575562
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.k.weight,73,EigenCov,0.8574196100234985,standard,0.14258038997650146
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.k.weight,73,Identity,0.8340163826942444,standard,0.16598361730575562
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.v.weight,74,EigenCov,0.845468282699585,standard,0.15453171730041504
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.v.weight,74,Identity,0.8340163826942444,standard,0.16598361730575562
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.o.weight,75,EigenCov,0.7557295560836792,standard,0.2442704439163208
ViT-L/14,Cars,model.visual.transformer.resblocks.2.attn.o.weight,75,Identity,0.9125553965568542,standard,0.08744460344314575
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.q.weight,76,EigenCov,0.8460109233856201,standard,0.15398907661437988
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.q.weight,76,Identity,0.8359559774398804,standard,0.16404402256011963
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.k.weight,77,EigenCov,0.844791054725647,standard,0.15520894527435303
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.k.weight,77,Identity,0.8359559774398804,standard,0.16404402256011963
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.v.weight,78,EigenCov,0.8292479515075684,standard,0.17075204849243164
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.v.weight,78,Identity,0.8359559774398804,standard,0.16404402256011963
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.o.weight,79,EigenCov,0.6691415309906006,standard,0.3308584690093994
ViT-L/14,Cars,model.visual.transformer.resblocks.6.attn.o.weight,79,Identity,0.7950258255004883,standard,0.20497417449951172
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.q.weight,80,EigenCov,0.6572506427764893,standard,0.34274935722351074
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.q.weight,80,Identity,0.7472672462463379,standard,0.2527327537536621
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.k.weight,81,EigenCov,0.6304373741149902,standard,0.36956262588500977
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.k.weight,81,Identity,0.7472672462463379,standard,0.2527327537536621
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.v.weight,82,EigenCov,0.6595792770385742,standard,0.3404207229614258
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.v.weight,82,Identity,0.7472672462463379,standard,0.2527327537536621
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.o.weight,83,EigenCov,0.5734054446220398,standard,0.4265945553779602
ViT-L/14,Cars,model.visual.transformer.resblocks.10.attn.o.weight,83,Identity,0.8399201035499573,standard,0.16007989645004272
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.q.weight,84,EigenCov,0.6507323980331421,standard,0.3492676019668579
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.q.weight,84,Identity,0.7560639977455139,standard,0.24393600225448608
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.k.weight,85,EigenCov,0.6247026920318604,standard,0.37529730796813965
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.k.weight,85,Identity,0.7560639977455139,standard,0.24393600225448608
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.v.weight,86,EigenCov,0.6556384563446045,standard,0.3443615436553955
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.v.weight,86,Identity,0.7560639977455139,standard,0.24393600225448608
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.o.weight,87,EigenCov,0.583907961845398,standard,0.41609203815460205
ViT-L/14,Cars,model.visual.transformer.resblocks.11.attn.o.weight,87,Identity,0.8158995509147644,standard,0.1841004490852356
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.q.weight,88,EigenCov,0.643804669380188,standard,0.356195330619812
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.q.weight,88,Identity,0.780788779258728,standard,0.21921122074127197
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.k.weight,89,EigenCov,0.6362557411193848,standard,0.36374425888061523
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.k.weight,89,Identity,0.780788779258728,standard,0.21921122074127197
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.v.weight,90,EigenCov,0.618556022644043,standard,0.38144397735595703
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.v.weight,90,Identity,0.780788779258728,standard,0.21921122074127197
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.o.weight,91,EigenCov,0.6333731412887573,standard,0.3666268587112427
ViT-L/14,Cars,model.visual.transformer.resblocks.17.attn.o.weight,91,Identity,0.8044304847717285,standard,0.19556951522827148
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.q.weight,92,EigenCov,0.9649217128753662,standard,0.03507828712463379
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.q.weight,92,Identity,0.919908881187439,standard,0.08009111881256104
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.k.weight,93,EigenCov,0.8920255899429321,standard,0.10797441005706787
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.k.weight,93,Identity,0.919908881187439,standard,0.08009111881256104
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.v.weight,94,EigenCov,0.928719162940979,standard,0.071280837059021
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.v.weight,94,Identity,0.919908881187439,standard,0.08009111881256104
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.o.weight,95,EigenCov,0.9358763694763184,standard,0.06412363052368164
ViT-L/14,Cars,model.visual.transformer.resblocks.23.attn.o.weight,95,Identity,0.93259996175766,standard,0.06740003824233998
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.q.weight,96,EigenCov,0.9284026026725768,standard,0.0715973973274232
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.q.weight,96,Identity,0.9215174913406372,standard,0.07848250865936279
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.k.weight,97,EigenCov,0.9047049880027772,standard,0.09529501199722279
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.k.weight,97,Identity,0.9215174913406372,standard,0.07848250865936279
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.v.weight,98,EigenCov,0.7916979789733887,standard,0.20830202102661133
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.v.weight,98,Identity,0.9215174913406372,standard,0.07848250865936279
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.o.weight,99,EigenCov,0.8046432137489319,standard,0.19535678625106812
ViT-L/14,Cars,model.visual.transformer.resblocks.22.attn.o.weight,99,Identity,0.8616905212402344,standard,0.13830947875976562
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.q.weight,100,EigenCov,0.90632963180542,standard,0.09367036819457997
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.q.weight,100,Identity,0.8663249015808105,standard,0.13367509841918945
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.k.weight,101,EigenCov,0.9035409092903136,standard,0.09645909070968639
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.k.weight,101,Identity,0.8663249015808105,standard,0.13367509841918945
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.v.weight,102,EigenCov,0.9015842080116272,standard,0.0984157919883728
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.v.weight,102,Identity,0.8663249015808105,standard,0.13367509841918945
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.o.weight,103,EigenCov,0.8119297027587891,standard,0.18807029724121094
ViT-L/14,Cars,model.visual.transformer.resblocks.3.attn.o.weight,103,Identity,0.8690369725227356,standard,0.1309630274772644
ViT-L/14,Cars,model.visual.transformer.resblocks.4.attn.q.weight,104,EigenCov,0.8420169949531555,standard,0.15798300504684448
ViT-L/14,Cars,model.visual.transformer.resblocks.4.attn.q.weight,104,Identity,0.8146378993988037,standard,0.1853621006011963
ViT-L/14,Cars,model.visual.transformer.resblocks.4.attn.k.weight,105,EigenCov,0.8459758758544922,standard,0.1540241241455078
