dataset,layer_name,layer_idx,method,error,k,ft_method
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8603111681099374,8,linear
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.844541695213943,32,linear
MNIST,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8045792846455678,64,linear
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9742787882959729,8,linear
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9487085671470293,32,linear
MNIST,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9280165123827893,64,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8499884931862612,8,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.832163833406091,32,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.793302186979932,64,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9532738961194136,8,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9493234381930078,32,linear
MNIST,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9284320155572984,64,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.902308395313051,8,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7789188878955888,32,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7161017730471304,64,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.9454841700734853,8,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.8885927677253771,32,linear
SVHN,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.878503712179459,64,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.9071657585176063,8,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.8249843633851992,32,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_fc.weight,21,EigenCov,0.7735430568390115,64,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9677049592791755,8,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.9221211095216002,32,linear
SVHN,model.visual.transformer.resblocks.1.mlp.c_proj.weight,23,EigenCov,0.8919682158722867,64,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.9092106420992138,8,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.8719795509424983,32,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_fc.weight,29,EigenCov,0.7895831489768601,64,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.964761971157029,8,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9417810987347878,32,linear
SVHN,model.visual.transformer.resblocks.2.mlp.c_proj.weight,31,EigenCov,0.9184685150510377,64,linear
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.9050684998146098,8,linear
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.8355299008899495,32,linear
SVHN,model.visual.transformer.resblocks.3.mlp.c_fc.weight,37,EigenCov,0.772209120894108,64,linear
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9771595272984359,8,linear
