model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,MNIST,956760.875,0.7960710402168149
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.k.weight,45,761649.625,SVHN,588370.6875,1.2945064075783008
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,Cars,1529039.125,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,DTD,1540958.0,0.992265282376288
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,EuroSAT,1753064.75,0.8722091554233807
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,GTSRB,2924168.75,0.5228970198795811
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,MNIST,2897408.5,0.5277264579709765
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.v.weight,46,1529039.125,SVHN,1583286.75,0.9657373340615651
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,Cars,86953.375,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,DTD,125621.8359375,0.6921836028830328
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,EuroSAT,179603.84375,0.4841398334494163
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,GTSRB,281038.21875,0.3094005341577763
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,MNIST,431126.5,0.2016887734806373
ViT-B-16,Cars,model.visual.transformer.resblocks.2.attn.o.weight,47,86953.375,SVHN,171008.203125,0.5084748767077603
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,Cars,1794886.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,DTD,1934790.5,0.927690362341556
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,EuroSAT,1768336.5,1.0150141107193116
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,GTSRB,2697121.5,0.6654822558049387
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,MNIST,2170058.5,0.8271143381618514
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,48,1794886.5,SVHN,1507537.0,1.1906085887112554
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,Cars,1760365.875,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,DTD,2144481.5,0.8208818192183052
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,EuroSAT,1536460.625,1.145727945354929
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,GTSRB,2870947.25,0.6131655240269566
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,MNIST,2592776.75,0.67895003879528
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,49,1760365.875,SVHN,1353546.75,1.3005578676909386
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,Cars,2556262.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,DTD,2330761.25,1.0967498279800216
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,EuroSAT,3431049.0,0.7450380335576671
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,GTSRB,5958390.5,0.4290188768258811
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,MNIST,5871327.5,0.4353805847144449
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,50,2556262.0,SVHN,3427587.25,0.7457904973826706
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,Cars,119194.75,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,DTD,142343.546875,0.8373737525640816
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,EuroSAT,189222.234375,0.6299193664724423
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,GTSRB,286019.28125,0.4167367650148585
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,MNIST,261190.390625,0.4563519726540475
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,51,119194.75,SVHN,186811.171875,0.6380493671960699
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,52,1481095.0,Cars,1481095.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,52,1481095.0,DTD,1649952.875,0.8976589710175813
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,52,1481095.0,EuroSAT,1702544.625,0.8699302081435898
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,52,1481095.0,GTSRB,2730983.25,0.5423303127179561
