checkpoint,dataset,layer,cosine_similarity,cosine_similarity_accum
200,Cars,image_encoder.model.visual.transformer.resblocks.5.attn,0.9292089343070984,0.944425404071808
200,Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_fc,0.9344038963317872,0.9463794231414796
200,Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_proj,0.9272589683532716,0.943151593208313
200,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.q,0.8944147229194641,0.9103789329528807
200,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.k,0.8944147229194641,0.9103789329528807
200,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.v,0.8944147229194641,0.9103789329528807
200,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.o,0.7336843609809875,0.7613402009010315
200,Cars,image_encoder.model.visual.transformer.resblocks.6.attn,0.8944147229194641,0.9103789329528807
200,Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_fc,0.9459917545318604,0.9507789015769958
200,Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_proj,0.9879254698753356,0.9890788793563844
200,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.q,0.904980719089508,0.9087613821029664
200,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.k,0.904980719089508,0.9087613821029664
200,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.v,0.904980719089508,0.9087613821029664
200,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.o,0.7965303659439087,0.8110626935958862
200,Cars,image_encoder.model.visual.transformer.resblocks.7.attn,0.904980719089508,0.9087613821029664
200,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_fc,0.9400672316551208,0.9433766603469848
200,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_proj,1.0001614093780518,1.0003989934921265
200,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.q,0.9064187407493592,0.9083550572395324
200,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.k,0.9064187407493592,0.9083550572395324
200,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.v,0.9064187407493592,0.9083550572395324
200,Cars,image_encoder.model.visual.transformer.resblocks.8.attn.o,0.8288477063179016,0.8335837125778198
200,Cars,image_encoder.model.visual.transformer.resblocks.8.attn,0.9064187407493592,0.9083550572395324
200,Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_fc,0.9296921491622924,0.9313511848449708
200,Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_proj,0.9474615454673768,0.9503939151763916
200,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.q,0.9094930291175842,0.9084705114364624
200,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.k,0.9094930291175842,0.9084705114364624
200,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.v,0.9094930291175842,0.9084705114364624
200,Cars,image_encoder.model.visual.transformer.resblocks.9.attn.o,0.8397145867347717,0.8335564732551575
200,Cars,image_encoder.model.visual.transformer.resblocks.9.attn,0.9094930291175842,0.9084705114364624
200,Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_fc,0.9072471261024476,0.9035552144050598
200,Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_proj,0.9014625549316406,0.8948631286621094
200,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.q,0.9329206943511964,0.9277734756469728
200,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.k,0.9329206943511964,0.9277734756469728
200,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.v,0.9329206943511964,0.9277734756469728
200,Cars,image_encoder.model.visual.transformer.resblocks.10.attn.o,0.8296250700950623,0.8231270909309387
200,Cars,image_encoder.model.visual.transformer.resblocks.10.attn,0.9329206943511964,0.9277734756469728
200,Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_fc,0.9394344091415404,0.9357065558433532
200,Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_proj,0.9161302447319032,0.8777274489402771
200,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.q,0.9736980199813844,0.9647576808929444
200,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.k,0.9736980199813844,0.9647576808929444
200,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.v,0.9736980199813844,0.9647576808929444
200,Cars,image_encoder.model.visual.transformer.resblocks.11.attn.o,0.8418540358543396,0.7795037031173706
200,Cars,image_encoder.model.visual.transformer.resblocks.11.attn,0.9736980199813844,0.9647576808929444
200,Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_fc,0.97513610124588,0.9657241702079772
200,Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_proj,0.9702189564704896,0.9536349177360536
400,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.q,0.6218366026878357,0.7496911883354187
400,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.k,0.6218366026878357,0.7496911883354187
400,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.v,0.6218366026878357,0.7496911883354187
400,Cars,image_encoder.model.visual.transformer.resblocks.0.attn.o,0.4757496416568756,0.6254143118858337
