model,dataset,layer_name,layer_idx,method,error,ft_method
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.v.weight,42,Random,0.9976354837417603,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.v.weight,42,Identity,0.8435717821121216,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.o.weight,43,EigenCov,0.6574307084083557,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.o.weight,43,Random,0.9996300935745239,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.o.weight,43,Identity,0.8268972635269165,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.q.weight,44,EigenCov,0.6281147599220276,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.q.weight,44,Random,0.9975617527961731,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.q.weight,44,Identity,0.7871191501617432,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.k.weight,45,EigenCov,0.6796023845672607,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.k.weight,45,Random,0.9997967481613159,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.k.weight,45,Identity,0.7871191501617432,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.v.weight,46,EigenCov,0.6677583456039429,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.v.weight,46,Random,0.9993345737457275,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.v.weight,46,Identity,0.7871191501617432,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,47,EigenCov,0.7095187306404114,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,47,Random,1.001758098602295,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.9.attn.o.weight,47,Identity,0.8598905801773071,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.q.weight,48,EigenCov,0.6213148832321167,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.q.weight,48,Random,0.998987078666687,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.q.weight,48,Identity,0.7296961545944214,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.k.weight,49,EigenCov,0.6225091218948364,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.k.weight,49,Random,0.9997500777244568,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.k.weight,49,Identity,0.7296961545944214,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.v.weight,50,EigenCov,0.656223714351654,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.v.weight,50,Random,0.9994819164276123,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.v.weight,50,Identity,0.7296961545944214,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.o.weight,51,EigenCov,0.6070559024810791,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.o.weight,51,Random,0.9974237680435181,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.6.attn.o.weight,51,Identity,0.8058072924613953,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.q.weight,52,EigenCov,0.5554419755935669,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.q.weight,52,Random,0.9996684193611145,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.q.weight,52,Identity,0.764396607875824,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.k.weight,53,EigenCov,0.5678701996803284,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.k.weight,53,Random,1.0001639127731323,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.k.weight,53,Identity,0.764396607875824,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.v.weight,54,EigenCov,0.6014024615287781,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.v.weight,54,Random,1.0023964643478394,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.v.weight,54,Identity,0.764396607875824,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.o.weight,55,EigenCov,0.6947735548019409,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.o.weight,55,Random,0.999941885471344,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.8.attn.o.weight,55,Identity,0.8356537222862244,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,56,EigenCov,0.8365616202354431,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,56,Random,0.9993045330047607,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.q.weight,56,Identity,0.8284046649932861,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,57,EigenCov,0.8880198001861572,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,57,Random,0.9982598423957825,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.k.weight,57,Identity,0.8284046649932861,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,58,EigenCov,0.8587837815284729,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,58,Random,1.0001360177993774,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.v.weight,58,Identity,0.8284046649932861,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,59,EigenCov,0.8409583568572998,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,59,Random,1.0000170469284058,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.0.attn.o.weight,59,Identity,0.8765134811401367,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,EigenCov,0.7045488357543945,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,Random,0.9996201992034912,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,Identity,0.7350472211837769,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,EigenCov,0.6882854700088501,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,Random,1.0022406578063965,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,Identity,0.7350472211837769,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,EigenCov,0.7142449617385864,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,Random,1.0009723901748657,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,Identity,0.7350472211837769,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,EigenCov,0.6399649381637573,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,Random,0.9988397359848022,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,Identity,0.8015049695968628,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,64,EigenCov,0.7297685146331787,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,64,Random,0.999713659286499,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.q.weight,64,Identity,0.7477613091468811,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.k.weight,65,EigenCov,0.7135314345359802,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.k.weight,65,Random,1.0009195804595947,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.k.weight,65,Identity,0.7477613091468811,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.v.weight,66,EigenCov,0.7148191928863525,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.v.weight,66,Random,1.0015517473220825,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.v.weight,66,Identity,0.7477613091468811,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.o.weight,67,EigenCov,0.7193721532821655,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.o.weight,67,Random,1.0012708902359009,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.o.weight,67,Identity,0.8079717755317688,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.q.weight,68,EigenCov,0.8320285081863403,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.q.weight,68,Random,0.9994242787361145,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.q.weight,68,Identity,0.8146793842315674,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.k.weight,69,EigenCov,0.853091835975647,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.k.weight,69,Random,1.0017411708831787,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.k.weight,69,Identity,0.8146793842315674,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.v.weight,70,EigenCov,0.8170058131217957,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.v.weight,70,Random,0.9996403455734253,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.v.weight,70,Identity,0.8146793842315674,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.o.weight,71,EigenCov,0.8570830225944519,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.o.weight,71,Random,0.9993392825126648,standard
ViT-B-16,Cars,model.visual.transformer.resblocks.1.attn.o.weight,71,Identity,0.8941990733146667,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,EigenCov,0.7987575531005859,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,Random,1.0014697313308716,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_fc.weight,0,Identity,0.8883541822433472,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,EigenCov,0.5487623810768127,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,Random,1.0000165700912476,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.0.mlp.c_proj.weight,1,Identity,0.9541817903518677,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,EigenCov,0.6799333691596985,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,Random,1.0027244091033936,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_fc.weight,2,Identity,0.7489418983459473,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,EigenCov,0.403616726398468,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,Random,1.0001871585845947,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.1.mlp.c_proj.weight,3,Identity,0.9122962355613708,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,EigenCov,0.7766447067260742,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,Random,1.0016592741012573,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_fc.weight,4,Identity,0.8682371377944946,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,EigenCov,0.3557111620903015,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,Random,0.9999628067016602,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.2.mlp.c_proj.weight,5,Identity,0.9324930310249329,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,EigenCov,0.7468565702438354,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,Random,1.0007598400115967,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_fc.weight,6,Identity,0.7776099443435669,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,EigenCov,0.39640676975250244,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,Random,0.9998582005500793,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.3.mlp.c_proj.weight,7,Identity,0.8726111650466919,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,EigenCov,0.7614049911499023,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,Random,0.9980185627937317,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_fc.weight,8,Identity,0.8393164277076721,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,EigenCov,0.45931476354599,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,Random,1.0000170469284058,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.4.mlp.c_proj.weight,9,Identity,0.8956745266914368,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,EigenCov,0.7579809427261353,standard
ViT-B-16,DTD,model.visual.transformer.resblocks.5.mlp.c_fc.weight,10,Random,0.9988442659378052,standard
